"id","code","name","account_type","reconcile","currency_id"
"cross_account_101040103","1.01.04.01.03","MERCADERÍAS EXENTAS DEL IVA","asset_current",,
"cross_account_1010402","1.01.04.02","MERCADERÍAS REGÍMENES ESPECIALES","asset_current",,
"cross_account_101040201","1.01.04.02.01","MERCADERÍAS RÉGIMEN DE TURISMO","asset_current",,
"cross_account_101040202","1.01.04.02.02","MERCADERÍAS ZONA FRANCA","asset_current",,
"cross_account_101040203","1.01.04.02.03","MERCADERÍAS RÉGIMEN DE MAQUILA","asset_current",,
"cross_account_101040204","1.01.04.02.04","MERCADERÍAS OTROS REGÍMENES ESPECIALES","asset_current",,
"cross_account_1010403","1.01.04.03","PRODUCTOS TERMINADOS","asset_current",,
"cross_account_101040301","1.01.04.03.01","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%","asset_current",,
"cross_account_101040302","1.01.04.03.02","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%","asset_current",,
"cross_account_101040303","1.01.04.03.03","PRODUCTOS TERMINADOS EXENTOS DEL IVA","asset_current",,
"cross_account_1010404","1.01.04.04","PRODUCTOS EN PROCESO","asset_current",,
"cross_account_1010405","1.01.04.05","MATERIAS PRIMAS","asset_current",,
"cross_account_1010406","1.01.04.06","MATERIALES, SUMINISTROS Y REPUESTOS","asset_current",,
"cross_account_1010407","1.01.04.07","PRODUCTOS AGRÍCOLAS","asset_current",,
"cross_account_1010408","1.01.04.08","PRODUCTOS FORESTALES","asset_current",,
"cross_account_1010409","1.01.04.09","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN","asset_current",,
"cross_account_1010410","1.01.04.10","ACTIVOS BIOLÓGICOS EN DESARROLLO","asset_current",,
"cross_account_1010411","1.01.04.11","IMPORTACIONES EN CURSO","asset_current",,
"cross_account_1010499","1.01.04.99","(-) PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS","asset_current",,
"cross_account_1010501","1.01.05.01","ALQUILERES PAGADOS POR ADELANTADO","asset_prepayments",,
"cross_account_1010502","1.01.05.02","SEGUROS A DEVENGAR","asset_current",,
"cross_account_1020101","1.02.01.01","DEUDORES POR VENTAS","asset_current",,
"cross_account_1020102","1.02.01.02","DEUDORES POR PRÉSTAMOS","asset_non_current",,
"cross_account_1020103","1.02.01.03","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","asset_current",,
"cross_account_1020104","1.02.01.04","CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS","asset_current",,
"cross_account_1020105","1.02.01.05","DEUDORES EN GESTIÓN DE COBRO - MOROSOS O SIMILARES","asset_current",,
"cross_account_1020106","1.02.01.06","ANTICIPOS A PROVEEDORES","asset_prepayments",,
"cross_account_102010601","1.02.01.06.01","ANTICIPOS A PROVEEDORES LOCALES","asset_prepayments",,
"cross_account_102010602","1.02.01.06.02","ANTICIPOS A PROVEEDORES DEL EXTERIOR","asset_prepayments",,
"cross_account_1020107","1.02.01.07","CRÉDITOS POR IMPUESTOS DIFERIDOS","asset_non_current",,
"cross_account_1020199","1.02.01.99","(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO","asset_non_current",,
"cross_account_1020201","1.02.02.01","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN","asset_non_current",,
"cross_account_1020202","1.02.02.02","ACTIVOS BIOLÓGICOS EN DESARROLLO","asset_non_current",,
"cross_account_1020299","1.02.02.99","(-) PREVISIÓN POR DEVALUACIÓN DE ACTIVOS BIOLÓGICOS","asset_non_current",,
"cross_account_1020301","1.02.03.01","INVERSIONES FINANCIERAS","asset_non_current",,
"cross_account_1020302","1.02.03.02","INVERSIONES EN ENTIDADES VINCULADAS","asset_non_current",,
"cross_account_1020303","1.02.03.03","INVERSIONES INMOBILIARIAS","asset_non_current",,
"cross_account_1020304","1.02.03.04","OTRAS INVERSIONES","asset_non_current",,
"cross_account_1020305","1.02.03.05","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","asset_non_current",,
"cross_account_1020399","1.02.03.99","(-) PREVISIÓN POR DEVALUACIÓN DE INVERSIONES","asset_non_current",,
"cross_account_1020401","1.02.04.01","INMUEBLES","asset_non_current",,
"cross_account_1020402","1.02.04.02","RODADOS /TRANSPORTES","asset_non_current",,
"cross_account_1020403","1.02.04.03","MUEBLES, ÚTILES Y ENSERES","asset_non_current",,
"cross_account_1020404","1.02.04.04","MAQUINARIAS","asset_non_current",,
"cross_account_1020405","1.02.04.05","EQUIPOS","asset_non_current",,
"cross_account_1020406","1.02.04.06","HERRAMIENTAS","asset_non_current",,
"cross_account_1020407","1.02.04.07","BIENES FUERA DE OPERACIÓN","asset_non_current",,
"cross_account_1020408","1.02.04.08","MEJORAS EN PREDIO AJENO","asset_non_current",,
"cross_account_1020497","1.02.04.97","BIENES INCORPORADOS AL AMPARO DE LA LEY N° 60/90","asset_non_current",,
"cross_account_1020498","1.02.04.98","BIENES EN ARRENDAMIENTO FINANCIERO","asset_non_current",,
"cross_account_1020499","1.02.04.99","(-) DEPRECIACIÓN ACUMULADA","asset_non_current",,
"cross_account_1020501","1.02.05.01","DERECHOS FIDUCIARIOS","asset_non_current",,
"cross_account_1020601","1.02.06.01","GASTOS DE CONSTITUCIÓN","asset_non_current",,
"cross_account_1020602","1.02.06.02","GASTOS DE ORGANIZACIÓN","asset_non_current",,
"cross_account_1020603","1.02.06.03","GASTOS DE DESARROLLO","asset_non_current",,
"cross_account_1020604","1.02.06.04","GASTOS DE PROYECTOS DE INVERSIÓN","asset_non_current",,
"cross_account_1020699","1.02.06.99","(-) AMORTIZACIÓN ACUMULADA","asset_non_current",,
"cross_account_1020701","1.02.07.01","LICENCIAS, MARCAS Y PATENTES","asset_non_current",,
"cross_account_1020702","1.02.07.02","FRANQUICIAS","asset_non_current",,
